kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JAYA MAS	2976	465	2280	210	21	12	9	468	9	2280	219	465	6	1		2280	224
2	SELESA JAYA	3165	843	1837	413	72	43	29	851	35	1837	442	845	30	2	1	1837	450
3	SRI SINDING	1755	127	1190	417	21	13	8	134	6	1190	425	130	5	1		1190	429
4	IMPIAN EMAS	2367	681	1476	163	47	11	36	688	4	1476	199	682	5			1476	204
5	SRI SKUDAI	4794	1258	2764	724	47	17	30	1262	13	2764	754	1258	5	1		2764	765
6	BANDAR SKUDAI BARAT	1662	619	861	142	40	30	10	633	16	861	152	621	10	1	1	861	168
7	BANDAR SKUDAI TENGAH	2211	41	1974	189	7	1	6	41	1	1974	195	42				1974	195
8	BANDAR SKUDAI TIMOR	210	5	196	9	0			5		196	9	5				196	9
9	HANG TUAH	5955	1233	2837	1834	51	21	30	1236	18	2837	1864	1234	5	4		2837	1875
10	LAKSAMANA TUTA	3629	876	2512	213	28	20	8	876	20	2512	221	877	5	8	1	2512	226
11	NAKHODA TUTA	5559	722	4470	330	37	23	14	729	16	4470	344	723	11	2	1	4470	352
12	FLAT PERKASA 'A' TUTA	3142	173	2638	268	63	59	4	181	51	2638	272	174	48	3		2638	279
13	TAMAN DAMAI JAYA	5436	2365	2429	581	61	32	29	2382	15	2429	610	2370	11	6	2	2429	618
14	DESA SKUDAI	4765	1750	2237	726	52	30	22	1760	20	2237	748	1751	9	3	2	2237	763
15	HANG JEBAT	7363	1169	5163	953	78	38	40	1180	27	5163	993	1170	15	5		5163	1010
16	PERWIRA TUTA	3466	924	2317	207	18	12	6	931	5	2317	213	924	3	2		2317	220
17	HULUBALANG TUTA	3096	436	2438	198	24	15	9	439	12	2438	207	437	6			2438	215
18	SKUDAI UTARA	2378	240	1945	182	11	1	10	239	2	1945	192	240				1945	193
19	FLAT PERKASA 'B' TUTA	3737	359	2980	361	37	27	10	364	22	2980	371	359	17	4		2980	377
20	TAMAN JAYA	2626	1272	642	581	131	82	49	1287	67	642	630	1277	37	2	2	642	666
21	BUKIT IMPIAN	636	126	429	79	2		2	126		429	81	126				429	81
