kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BT 12 JLN SENGGARANG	138	89	46		3	1	2	89	1	46	2	89				46	3
2	PT SENGKANG	19	1	18		0			1		18		1				18	
3	SG LURUS	336	311	24		1		1	310	1	24	1	311				24	1
4	PT PENGHULU	164	148	9		7		7	148		9	7	148				9	7
5	PT LAPIS JABAR	40	40			0			40				40					
6	PT PERMATANG SENGGARANG	299	224	68	1	6	1	5	223	2	68	6	225				68	6
7	TMN AIKKA	144	39	82		23		23	39		82	23	39				82	23
8	PT LAPIS	16	16			0			16				16					
9	TMN. SRI MEWAH	74	62	11		1		1	62		11	1	62				11	1
10	SG LURUS DARAT	86	82	4		0			82		4		82				4	
