kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KUBONG	1874	842	151	11	870	789	81	1585	46	151	92	853	9	2	3	151	856
2	LAYANGAN	1074	407	56	11	600	572	28	953	26	56	39	414	5	1	9	56	589
3	LAJAU	1980	869	190	19	902	834	68	1599	104	190	87	880	20		7	190	883
4	GANGGARAK	752	323	65	8	356	300	56	576	47	65	64	326	1	3	5	65	352
5	LADA	1355	378	35	1	941	913	28	1263	28	35	29	382	3	1	10	35	924
6	BENUWA	2109	814	122	6	1167	1081	86	1800	95	122	92	817	22		5	122	1143
7	LAPANGAN TERBANG	1960	1533	75	51	301	283	18	1627	189	75	69	1543	42	39	2	75	259
8	VICTORIA UTARA	1471	429	322	36	684	602	82	931	100	322	118	435	9	3	1	322	701
9	VICTORIA SELATAN	909	75	583	73	178	155	23	163	67	583	96	77	1		4	583	244
10	RAMSAY	1752	418	703	56	575	541	34	724	235	703	90	425	41	9	9	703	565
11	RANCHA - RANCHA	2188	509	824	33	822	748	74	1080	177	824	107	513	16	2	10	824	823
12	KERUPANG	1866	398	750	18	700	615	85	858	155	750	103	408	17	1	6	750	684
13	KAMPONG BATU ARANG	3094	864	763	70	1397	1213	184	1867	210	763	254	874	17	4	4	763	1432
14	PATAU-PATAU	705	327	15	1	362	352	10	667	12	15	11	330	2	1	2	15	355
15	SUNGAI KELING	1524	287	721	6	510	476	34	619	144	721	40	293	8	2	2	721	498
16	BUKIT KALAM	2314	806	235	9	1264	1183	81	1928	61	235	90	817	15	1	14	235	1232
17	TANJUNG ARU	1429	546	217	11	655	610	45	1074	82	217	56	551	12		11	217	638
