kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KAMPONG BATU	957	855	19	1	82	77	5	869	63	19	6	855				19	83
2	SELEMAK	1527	1424	53	45	5	3	2	1425	2	53	47	1424		1		53	49
3	KAMPONG BONGEK	747	712	13	19	3		3	707	5	13	22	712				13	22
4	KAMPONG CHENGKAU ULU	449	444	4		1	1		444	1	4		445				4	
5	KAMPONG GADONG	527	511	3	8	5	3	2	509	5	3	10	511				3	13
6	KAMPONG KENDONG	1164	1034	53	28	49	49		1035	48	53	28	1034				53	77
7	KOTA	1801	849	623	324	5	3	2	850	2	623	326	849	2			623	327
8	SEMERBOK	510	505		5	0			503	2		5	505					5
9	KAMPONG SAWAH RAJA	379	372	1		6		6	372		1	6	372				1	6
10	TITIAN BINTANGOR	1913	1664	60	160	29	5	24	1667	2	60	184	1665				60	188
11	ASTANA RAJA	1136	1130		2	4	2	2	1129	3		4	1130	1				5
12	LEGONG ULU	471	459	6	1	5		5	457	2	6	6	459				6	6
13	PEKAN CHENGKAU	784	600	117	57	10	2	8	600	2	117	65	600	1			117	66
14	KAMPONG PENAJIS	623	622		1	0			621	1		1	622					1
15	KAMPONG PULAU MAMPAT	576	571		3	2	1	1	571	1		4	571					5
