kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	H C LATEX LTD	6	6			0			6				6					
2	RKT TROLAK UTARA	2327	2267	3	55	2	1	1	2267	1	3	56	2268				3	56
3	PUSAT LATIHAN TROLAK	33	32	1		0			32		1		32				1	
4	KG KLAH BARU	182	178		3	1		1	178			4	178					4
5	KILANG SAWIT	74	68	1	5	0			68		1	5	68				1	5
6	INST PEMBANGUNAN TANAH TROLAK	4	3		1	0			3			1	3					1
7	MAKTAB SAINS MARA TROLAK	10	10			0			10				10					
8	FELDA JAYA UTARA	39	39			0			39				39					
