kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG ABBEY	324	290	3	30	1	1		291		3	30	290		1		3	30
2	KG MASJID BARU	396	389	1	2	4		4	389		1	6	389				1	6
3	KG PONDOK BATANG	529	372	144	11	2		2	371	1	144	13	372				144	13
4	PENEMPATAN SEMULA MERIANG	109	78	5	18	8	8		80	6	5	18	78		1		5	25
5	KG BARU PONDOK BATANG	176	14	159	3	0			12	2	159	3	14				159	3
6	LDG MERIANG	7	5			2	2		6	1			5					2
7	TMN SERI PONDOK BATANG	22	1	4	16	1	1		2		4	16	1				4	17
8	KG GUBAH	293	288	1		4		4	288		1	4	288				1	4
9	RUM AWAM PONDOK BATANG	100	53	13	27	7		7	53		13	34	53				13	34
10	KAMPUNG MAJU PONDOK BATANG	2		2		0					2						2	
