kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KAPAL KOREK TIMAH BERJUNTAI	746	483	53	207	3		3	482	1	53	210	483				53	210
2	LADANG HOPEFUL	119	8		108	3		3	7	1		111	8					111
3	KG HJ YUSOF HASSAN	3	1		2	0			1			2	1					2
4	KEM 6	34	23	1	10	0			23		1	10	23				1	10
5	KEM 7	106	79		26	1		1	79			27	79					27
6	KG. BERJUNTAI BISTARI	181	103	6	70	2	1	1	104		6	71	103		1		6	71
7	LRG MAWAR 2	37	29		8	0			29			8	29					8
8	LRG TERATAI 2	14	13		1	0			13			1	13					1
9	LRG BUNGA RAYA	138	123		14	1	1		123	1		14	123					15
10	LRG MAWAR	107	91		15	1		1	91			16	91					16
11	LRG TERATAI	57	45		12	0			45			12	45					12
12	LRG CEMPAKA	42	32		10	0			32			10	32					10
13	LRG TERATAI 5	23	18		5	0			18			5	18					5
14	JLN MAWAR 5	19	18		1	0			18			1	18					1
15	JLN MAWAR 4	16	16			0			16				16					
16	KEM 9	58	44	2	12	0			44		2	12	44				2	12
17	KG BISTARI JAYA	51	32	2	16	1		1	32		2	17	32				2	17
18	QRTS UNISEL	5	5			0			5				5					
