kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PUCHONG PERDANA	1126	604	259	244	19	12	7	611	5	259	251	604	5	1		259	257
2	JLN TERATAI / KEKWA / ANGGERIK	1557	943	290	313	11	3	8	940	6	290	321	944	1			290	322
3	JLN 2, 3 PUCHONG PERDANA	381	99	162	109	11	5	6	101	3	162	115	99	3			162	117
4	JLN PERDANA 4	614	312	138	128	36	15	21	321	6	138	149	313	8			138	155
5	BLOK A - J PUCHONG PERDANA	213	121	28	51	13	9	4	125	5	28	55	121	4	1		28	59
