kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	TEMARIS	355	271	25	50	9		9	269	2	25	59	271				25	59
2	FELDA KEPIS	1600	1589		7	4	3	1	1591	1		8	1589					11
3	REMBANG PANAS	924	913	1	4	6	1	5	912	2	1	9	914				1	9
4	KAMPONG SUNGAI DUA	1065	1059	2		4	3	1	1058	4	2	1	1060		2		2	1
5	KAMPONG KUALA DIOH	1254	822	399	27	6	1	5	820	3	399	32	823				399	32
6	SAWAH LEBAR	347	256	71	19	1		1	253	3	71	20	256				71	20
7	KAMPONG DIOH	1019	451	485	78	5	1	4	452		485	82	451	1			485	82
8	TEBAT KERING	384	144	179	60	1		1	143	1	179	61	144				179	61
9	SENALING	1128	857	251	18	2	1	1	854	4	251	19	857	1			251	19
