kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	RUMAH PANGSA SRI JOHOR	7292	2662	3083	1498	49	18	31	2665	15	3083	1529	2665	5	4	2	3083	1533
2	RUMAH PANGSA SRI PULAU PINANG	3204	652	2189	344	19	8	11	655	5	2189	355	652	2		1	2189	360
3	RUMAH PANGSA SRI SABAH	5679	3088	1621	914	56	16	40	3097	7	1621	954	3091	2	5		1621	960
4	TAMAN IKAN EMAS	3537	1561	1421	526	29	6	23	1559	8	1421	549	1562	2			1421	552
5	RUMAH PANGSA SRI MELAKA	4932	2849	1612	431	40	9	31	2848	10	1612	462	2851	3			1612	466
6	SRI PERMAISURI	1989	806	978	179	26	11	15	811	6	978	194	808	1	2		978	200
7	BANDAR SRI PERMAISURI	4040	2618	1114	188	120	72	48	2677	13	1114	236	2623	10	4		1114	289
8	RUMAH PANGSA SRI LABUAN	4153	3735	184	189	45	17	28	3743	9	184	217	3739	1	1		184	228
9	SRI KOTA	4961	3687	594	618	62	26	36	3707	6	594	654	3687	5	3		594	672
10	TAMAN MULIA	4979	3495	1360	97	27	15	12	3497	13	1360	109	3496	3	1		1360	119
11	BANDAR TUN RAZAK	4690	4561	40	47	42	17	25	4558	20	40	72	4564		4		40	82
12	DESA TUN RAZAK	2854	1789	511	470	84	40	44	1825	4	511	514	1794	1	3		511	545
13	KAMPUNG MALAYSIA	4128	3659	235	153	81	20	61	3666	13	235	214	3660	4	3		235	226
14	BANDAR TASIK SELATAN	5750	4490	900	209	151	93	58	4537	46	900	267	4495	22	11	1	900	321
15	PEKAN SUNGAI BESI	2344	997	1029	250	68	45	23	1002	40	1029	273	1003	16	1		1029	295
16	KEM TENTERA	6476	5736	54	146	539	496	43	5842	390	54	189	5750	190	98	8	54	375
17	TAMAN LEN SEN	6487	2506	3561	316	104	37	67	2530	13	3561	383	2510	5	4		3561	407
18	TAMAN BUKIT CHERAS	2144	840	1046	222	36	11	25	845	6	1046	247	840	4	2		1046	252
19	TAMAN BUKIT ANGGERIK	4011	839	2813	330	29	4	25	838	5	2813	355	839	1			2813	358
