kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JLN A RAHMAN / JLN TIMBALAN / JLN SULTANAH / LG SEKOLAH	380	252	102	24	2		2	250	2	102	26	252				102	26
2	JLN JONID	847	538	279	21	9	1	8	538	1	279	29	538				279	30
3	JLN KHALIDI / TMN KHALIDI BARU	673	132	482	48	11		11	132		482	59	132				482	59
4	TMN TANJONG	334	83	228	22	1	1		83	1	228	22	83		1		228	22
5	LG KENANGAN / TMN JONID INDAH	215	167	41	4	3	1	2	168		41	6	167		1		41	6
6	TMN SRI TANJONG	91	75	10	4	2	2		77		10	4	75	1	1		10	4
7	TMN JUNID INDAH	11		11		0					11						11	
801	PENGUNDI TIDAK HADIR	3	3			0			3				3					
