kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PARIT HJ ALI	317	284	29		4		4	283	1	29	4	284				29	4
2	PARIT NIPAH	411	395	12	3	1		1	394	1	12	4	395				12	4
3	PARIT SIKON	255	213	40		2	1	1	214		40	1	214				40	1
4	PARIT SUMARTO	261	204	51	2	4		4	204		51	6	204				51	6
5	PARIT HJ ALI LAUT	61	61			0			61				61					
6	TMN. JAYA	96	26	68	2	0			26		68	2	26				68	2
7	TMN. ROBENA	42	38	2		2		2	38		2	2	38				2	2
8	TMN KELISA JAYA, PARIT RAJA	64	53	9		2		2	53		9	2	53				9	2
