kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	SUNGAI SERAI	1109	1108			1		1	1107	1		1	1108					1
2	BINJAI RENDAH	2159	2125	30		4	1	3	2123	3	30	3	2125			1	30	3
3	CERANG CHINA	946	908	10	7	21	16	5	917	7	10	12	909	3		2	10	22
4	WAKAF TAPAI	4114	3084	993	10	27	9	18	3084	9	993	28	3084	2		1	993	34
5	JERUNG SURAU	2560	2550	1	2	7	4	3	2550	4	1	5	2550	1			1	8
6	BUKIT PARIT	1208	1204	2	1	1	1		1201	4	2	1	1204				2	2
7	PENGKALAN BERANGAN	2384	2375			9	3	6	2373	5		6	2375					9
8	KUBU	1123	1117			6	1	5	1116	2		5	1117					6
9	MERCANG	3024	3007	3	2	12	4	8	3010	1	3	10	3008	1			3	12
10	PASIR PUTIH	1106	1099	1		6	1	5	1099	1	1	5	1100				1	5
11	JAMBU BONGKOK	1566	1551	5		10	3	7	1552	2	5	7	1552				5	9
12	GONG BALAI	1588	1583			5		5	1581	2		5	1583					5
13	PADANG MENGKUANG	2980	2926	38	2	14		14	2924	2	38	16	2926				38	16
14	DURIAN GULING	1220	1214	4		2	1	1	1214	1	4	1	1214				4	2
15	BUKIT JEJULUNG	1113	1110	2		1		1	1107	3	2	1	1110				2	1
