kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	DICKENS STREET	1516	521	794	167	34	30	4	526	25	794	171	525	5	4		794	188
2	LEBOH CINTRA	1003	3	984	16	0			3		984	16	3				984	16
3	KAMPONG KOLAM	894	216	568	106	4	3	1	217	2	568	107	216		1		568	109
4	LEBOH ACHEH	1105	65	962	76	2	1	1	65	1	962	77	65				962	78
5	LEBOH MELAYU	976		961	15	0					961	15					961	15
6	HONG KONG STREET	865	4	856	5	0			4		856	5	4				856	5
7	KOMTAR	174	3	163	8	0			1	2	163	8	3				163	8
8	MADRAS LANE	1396	51	1267	75	3		3	50	1	1267	78	51				1267	78
9	JALAN TIMAH	791	89	505	191	6		6	88	1	505	197	89				505	197
10	JALAN LINES	1423	189	925	304	5		5	189		925	309	189				925	309
11	JALAN DATO` KERAMAT	1008	30	903	71	4	1	3	29	2	903	74	30	1			903	74
12	IRVING ROAD	1180	51	1046	73	10		10	51		1046	83	51				1046	83
13	JALAN PAHANG	1472	87	1312	70	3		3	86	1	1312	73	87				1312	73
14	JALAN KIM BIAN AIK	1238	139	999	89	11	2	9	140	1	999	98	139				999	100
