kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	LADANG SUNGAI BURONG	444	378	56		10	1	9	377	2	56	9	378				56	10
2	JALAN RIMBA TERJUN	1860	307	1502	40	11	3	8	307	3	1502	48	307	1			1502	50
3	KAMPONG DUKU	4686	1699	2879	62	45	24	21	1703	20	2879	83	1699	5	7		2879	95
4	KAMPONG RIMBA TERJUN	2255	1581	639	20	15	2	13	1579	4	639	33	1581		1		639	34
5	PARIT HJ. ISMAIL	1301	724	558	6	13	2	11	722	4	558	17	724				558	19
6	RAMBAH	1928	864	976	74	14	3	11	861	6	976	85	865	1			976	86
7	PARIT RAMBAI	979	865	96	5	13	1	12	864	2	96	17	865				96	18
8	PERADIN	698	627	46	1	24	2	22	629		46	23	628				46	24
9	TELOK KERANG	1976	1691	242	8	35	5	30	1692	4	242	38	1691	1	1		242	41
10	PENEROK	2158	1391	685	22	60	1	59	1382	10	685	81	1391				685	82
11	SUNGAI BOH	731	718	5	1	7		7	715	3	5	8	718				5	8
12	BANDAR PERMAS KECHIL	672	206	452	5	9	7	2	208	5	452	7	208				452	12
13	PERMAS KECHIL	2503	776	1693	13	20	3	17	777	2	1693	30	776				1693	33
14	SUNGAI DURIAN	1621	1275	306	6	34	3	31	1276	2	306	37	1275				306	40
15	SERKAT	1592	1543	33	3	13	2	11	1540	5	33	14	1543	1			33	15
16	ANDEK MORI	1516	1379	115	6	16	3	13	1380	2	115	19	1379				115	22
