kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
54	GERIK	35903	24524	5068	1148	5163	4124	1039	26198	2450	5068	2187	24539	175	108	5	5068	6008
55	LENGGONG	29752	24740	3771	435	805	731	74	25325	146	3771	509	24748	11	3		3771	1218
56	LARUT	49453	44311	2139	2810	193	54	139	44260	105	2139	2949	44315	7	6	3	2139	2983
57	PARIT BUNTAR	51860	35898	13316	2494	152	50	102	35879	69	13316	2596	35904	6	2	2	13316	2630
58	BAGAN SERAI	59293	46130	7646	5359	157	58	99	46073	115	7646	5458	46141	9	3	1	7646	5492
59	BUKIT GANTANG	69873	50395	13199	6015	264	106	158	50418	83	13199	6173	50416	17	9	3	13199	6229
60	TAIPING	90729	34932	42092	12396	1309	857	452	35058	731	42092	12848	34975	357	147	20	42092	13138
61	PADANG RENGAS	30996	24039	4778	2097	81	31	50	24038	32	4778	2147	24050	3	1		4778	2163
62	SUNGAI SIPUT	55002	18669	19953	11579	4801	4717	84	21696	1690	19953	11663	18677	10	3	5	19953	16354
63	TAMBUN	107763	70920	21785	12565	2492	1947	545	71995	872	21785	13110	71000	247	100	23	21785	14607
64	IPOH TIMOR	91486	19004	65903	5982	595	221	374	19006	219	65903	6356	19023	50	20	6	65903	6482
65	IPOH BARAT	84874	9810	53570	21039	452	132	320	9828	114	53570	21359	9815	27	16	6	53570	21437
66	BATU GAJAH	81399	7960	61045	12063	329	138	191	7964	134	61045	12254	7968	25	7	4	61045	12348
67	KUALA KANGSAR	36954	25865	7991	2512	586	463	123	25992	335	7991	2636	25879	7	3		7991	3074
68	BERUAS	79794	20831	47269	11326	368	215	153	20919	127	47269	11479	20839	53	13	5	47269	11615
69	PARIT	35910	33282	806	928	894	767	127	33351	698	806	1055	33295	20	8	1	806	1780
70	KAMPAR	69436	23070	38442	6441	1483	1312	171	23114	1268	38442	6612	23080	27	8	3	38442	7876
71	GOPENG	99167	41766	45613	9202	2586	2275	311	42029	2012	45613	9513	41787	39	16	9	45613	11703
72	TAPAH	47128	21300	12171	6784	6871	6563	308	22099	5762	12171	7094	21311	39	8	6	12171	13591
73	PASIR SALAK	54671	44022	7029	1939	1681	1575	106	44135	1462	7029	2045	44033	12	10		7029	3587
74	LUMUT	67157	48026	10039	7765	1326	1061	265	48393	694	10039	8030	48076	288	116	20	10039	8617
75	BAGAN DATUK	47309	27825	8385	10292	807	284	523	27854	255	8385	10815	27835	49	18	2	8385	11020
76	TELUK INTAN	66487	26790	26661	12523	513	205	308	26752	243	26661	12831	26798	15	7	3	26661	13003
77	TANJONG MALIM	68468	37744	17506	9051	4166	3750	416	37887	3607	17506	9467	37759	32	12	1	17506	13157
