kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
9	TAHAN	15197	14317	97	109	674	614	60	14410	521	97	169	14318	2	2	1	97	777
10	DAMAK	25164	14603	8179	1412	969	838	131	14705	736	8179	1543	14610	17	3		8179	2354
11	PULAU TAWAR	23248	22937	22	171	118	66	52	22908	95	22	223	22939		2	3	22	282
