kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KUALA PAKU	2029	2019	1	1	8	2	6	2008	13	1	7	2019				1	9
2	BECHAH LAUT	1453	1447	3		3		3	1447		3	3	1447				3	3
3	PEKAN GUAL IPOH	1542	1526	5	2	8	3	5	1525	4	5	7	1529				5	7
4	ULU KUSIAL	1440	1438			2	1	1	1439			1	1438	1				1
5	BUKIT DURIAN	2398	2373	8	1	16	8	8	2377	4	8	9	2373	2	2		8	13
6	TERASIL	2214	2189	17	1	7	2	5	2189	2	17	6	2189				17	8
7	TEBING TINGGI	2326	2289	30	6	1		1	2284	5	30	7	2289				30	7
8	KONGSI LIMA	1197	1131	55	6	5	3	2	1131	3	55	8	1131				55	11
9	KERILLA	691	353	21	316	1		1	353		21	317	353				21	317
10	KUALA TIGA	1540	1533	1	2	4	2	2	1534	1	1	4	1533				1	6
11	BLOK SOKOR	837	827		8	2	1	1	827	1		9	827					10
12	KG PERALLA	1147	1139			8	2	6	1141			6	1139					8
13	TOK CHE DOL	1234	1229	1		4	3	1	1228	4	1	1	1229	1			1	3
