kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JLN BAKAU CHONDONG	155	102	43	10	0			102		43	10	102				43	10
2	JLN PASIR TINGGI	68	65	1	2	0			65		1	2	65				1	2
3	JLN CASEY	99	74	2	23	0			73	1	2	23	74				2	23
4	KG MERDEKA	64	19	43	2	0			19		43	2	19				43	2
5	JLN RAJA ENDUT	196	66	100	28	2		2	66		100	30	66				100	30
6	JLN TALIB KG. MERDEKA	144	41	101	2	0			41		101	2	41				101	2
7	JLN BUNGA RAYA	44	28	5	10	1		1	28		5	11	28				5	11
8	JLN ISMAIL ABDULLAH KG MERDEKA	53	51	1	1	0			50	1	1	1	51				1	1
9	JLN DATO ONN KG MERDEKA	25	7	17	1	0			7		17	1	7				17	1
10	JLN ABDUL GHAFAR KG MERDEKA	35	3	25	7	0			3		25	7	3				25	7
11	JLN DATO WAN IDRIS KG MERDEKA	121	8	112	1	0			8		112	1	8				112	1
12	JLN ABD RAHMAN JAAFAR KG MERDEKA	27	2	25		0			2		25		2				25	
13	JLN ABDULLAH	17	1	16		0			1		16		1				16	
14	JLN. PENGHULU ABD. KADIR	4	4			0			4				4					
