kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JLN KEPAYANG TMN KOTA JAYA	145	18	99	25	3		3	18		99	28	18				99	28
2	JLN BACANG 2 , TMN KOTA JAYA	14	13	1		0			13		1		13				1	
3	JLN BELINJAU TMN KOTA JAYA	877	378	282	206	11	3	8	381		282	214	379		1		282	215
4	JLN BACANG TMN KOTA JAYA	92	55	24	13	0			55		24	13	55				24	13
5	JLN SUKUN TMN KOTA JAYA	191	119	33	39	0			119		33	39	119				33	39
6	JLN NANGKA TMN KOTA JAYA	275	182	67	15	11	1	10	183		67	25	182				67	26
7	JLN BIDARA TMN KOTA JAYA	207	84	106	14	3	1	2	84	1	106	16	84			1	106	16
8	JLN KUNDANG TMN KOTA JAYA	159	57	91	8	3		3	57		91	11	57				91	11
9	JLN PAUH TMN KOTA JAYA	11	7	4		0			6	1	4		7				4	
10	JLN KUINI TMN KOTA JAYA	141	62	71	5	3		3	62		71	8	62				71	8
11	JLN DURIAN TMN KOTA JAYA	135	43	42	19	31		31	43		42	50	43				42	50
12	JLN MEMPELAM TMN KOTA JAYA	291	114	134	26	17	3	14	114	3	134	40	114	2			134	41
13	JLN BINJAI TMN KOTA JAYA	324	206	63	52	3		3	206		63	55	206				63	55
14	JLN MANGGIS TMN KOTA JAYA	190	91	66	31	2		2	91		66	33	91				66	33
15	JLN DUKU TMN KOTA JAYA	178	118	35	19	6	1	5	119		35	24	118	1			35	24
16	TMN KOTA MAS	114	66	34	8	6		6	64	2	34	14	66				34	14
17	JLN RAMBUTAN TMN MUHIBBAH	136	103	27	5	1		1	103		27	6	103				27	6
18	JLN CEMPEDAK TMN MUHIBBAH	112	72	20	20	0			72		20	20	72				20	20
