kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	RANGKANG	403	391	1		11	11		395	7	1		391	8	3		1	
2	PUTIN	197	193			4	4		194	3			193	4				
3	RANGAWAN	433	429			4	4		428	5			429	4				
4	TERASI	350	222	37		91	91		226	87	37		222	90	1		37	
5	SENANGEH	178	4	1		173	173		4	173	1		4	164	9		1	
6	SUNGAI BULOH	224	4	4		216	216		6	214	4		4	216			4	
7	ENSENGEI	257	1	8		248	248		2	247	8		1	244	3	1	8	
8	SIMUNJAN	1944	1360	379		205	199	6	1353	206	379	6	1360	191	6	2	379	6
9	TEMIANG	1065	22	32		1011	1011		40	993	32		22	990	17	4	32	
10	SAGENG	2020	1955	12		53	53		1993	15	12		1955	40	13		12	
11	SEKENDU	427	20	31		376	375	1	29	366	31	1	20	370	5		31	1
12	SUNGAI APIN	365	331	1		33	33		334	30	1		331	28	5		1	
13	TANJONG BELUKU	161	160			1	1		161				160	1				
14	SLANGKING	305	296			9	9		303	2			296	7	2			
