kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG JEMERI	200	3	2		195	195		16	182	2		3	2			2	193
2	KG BANGKUNG	224	207	1	3	13	8	5	205	10	1	8	207				1	16
3	KG GADING	250	234	1		15	12	3	238	8	1	3	234				1	15
4	KG BUKIT MESAH	26	1			25	25		3	23			1					25
5	KG MERLAK	24	18			6	5	1	18	5		1	18					6
6	KG PADANG	92	83			9	1	8	83	1		8	83					9
7	KG PINANG	159	1	6		152	152		16	137	6		1	1	1		6	150
8	KG BELANGKAP	132	2	1		129	129		13	118	1		2				1	129
9	KG KERPAL	159	1			158	158		5	154			1					158
