kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KAMPUNG LALANG	236	236			0			235	1			236					
2	RENGAI	342	231	43	66	2	1	1	232		43	67	231				43	68
3	TANJUNG BESAR	773	771			2	1	1	767	5		1	771					2
4	JERANSANG	735	717	12		6	4	2	716	5	12	2	717	2			12	4
5	KEMAHANG	538	532	2		4		4	530	2	2	4	532				2	4
6	KAMPUNG CHAT	939	931	3	1	4	2	2	930	3	3	3	932				3	4
7	BUDU	754	745	6	1	2	2		743	4	6	1	745	1	1		6	1
8	PEKAN BENTA	952	554	323	69	6	2	4	554	2	323	73	555		1		323	73
9	KAMPUNG BARU BENTA	1226	272	891	57	6		6	270	2	891	63	272				891	63
10	JERKOH	1505	462	943	93	7	2	5	463	1	943	98	462	1			943	99
11	LADANG BENTA	441	44	37	354	6	4	2	46	2	37	356	45				37	359
12	LADANG BUDU	211	18	25	166	2		2	18		25	168	18				25	168
