kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	BUKIT KECHIK	2286	2258	24		4	1	3	2252	7	24	3	2259				24	3
2	BUKIT MERIAM	1124	1102	15	5	2	2		1103	1	15	5	1103				15	6
3	SINTOK BUGIS	990	983	5	1	1	1		983	1	5	1	983	1			5	1
4	PADANG SALIM	1283	1279	3		1		1	1277	2	3	1	1279				3	1
5	KUALA MUDA	1141	1135	3	2	1	1		1132	4	3	2	1135				3	3
6	HAJI KUDONG	1012	1007	2	2	1	1		1006	2	2	2	1007	1			2	2
7	KOTA KUALA MUDA	1233	1034	194	1	4	4		1034	4	194	1	1034	3			194	2
8	SUNGAI MAS	1434	1401	31	1	1	1		1399	3	31	1	1401				31	2
9	RANTAU PANJANG	1550	1540	7	1	2	2		1538	4	7	1	1540				7	3
10	PEKAN TIKAM BATU	1513	1107	367	34	5	3	2	1105	5	367	36	1107		1		367	38
11	KAMPUNG SIMPOR	1350	1345		2	3	1	2	1345	1		4	1346					4
12	BATU LINTANG	1795	1791	2		2	2		1789	4	2		1791	1	1		2	
13	SIMPOR TIMOR	1339	1337		1	1	1		1338			1	1338					1
14	TELOK WANG	4001	3663	215	101	22	9	13	3670	2	215	114	3666	1	3	1	215	115
15	KAMPUNG BERAPIT	1664	1651	5	8	0			1645	6	5	8	1651				5	8
16	KAMPUNG TIKAM BATU	2627	2543	64	6	14	3	11	2538	8	64	17	2544	1			64	18
17	PEKULA	3214	2919	181	101	13	3	10	2919	3	181	111	2919	1			181	113
18	PADANG TEMUSU	2836	2096	559	169	12	3	9	2093	6	559	178	2096	1			559	180
19	PINANG TUNGGAL	4418	3619	476	293	30	13	17	3625	7	476	310	3620	1			476	321
