kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG TOBOBON	1046	277	57	3	709	659	50	818	118	57	53	277	3	1		57	708
2	KG GUDON	1141	289	103	5	744	663	81	910	42	103	86	290	8		1	103	739
3	KG BANDULAN	46	22	1		23	18	5	37	3	1	5	22				1	23
4	KOMPLEKS PERUMAHAN KASTAM	27				27	23	4	15	8		4						27
5	KINGFISHER SULAMAN	106	14	55	1	36	34	2	39	9	55	3	14	2		1	55	34
6	UNIVERSITY APARTMENT 1	54	15	8	1	30	28	2	36	7	8	3	15	1			8	30
7	UNIVERSITY APARTMENT 2	22	4	5		13	13		10	7	5		4				5	13
