kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG BAWANG	320	7	41		272	272		85	194	41		8	1			41	270
2	KG BONTOI	699	20	149		530	522	8	88	454	149	8	20	1			149	529
3	KG GUAKON	142				142	142		4	138								142
4	KG KIWOI	146	6	2		138	136	2	108	34	2	2	6				2	138
5	KG MENGKALADOI	323	4	60		259	250	9	55	199	60	9	4				60	259
6	RANAU ROAD	29	1	3		25	23	2	3	21	3	2	1	2			3	23
7	JALAN TENGHILAN	32		4		28	28			28	4						4	28
8	KG KAPA	442	3	11		428	420	8	22	401	11	8	3	8	1		11	419
9	KG LOPUTUNG	91				91	91		13	78								91
