kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KAMPONG KEPIS	863	841	12	1	9	8	1	844	5	12	2	841	1	1		12	8
2	MALAN BARU	484	236	203	30	15	12	3	239	9	203	33	236				203	45
3	DANGI	1279	363	775	136	5	3	2	363	3	775	138	363				775	141
4	KAMPUNG SELARU	1309	783	107	170	249	246	3	856	173	107	173	783				107	419
5	INAS	1409	1233	1	35	140	138	2	1269	102	1	37	1233				1	175
6	KAMPONG PADANG JUAL	267	235	7	25	0			235		7	25	235				7	25
7	PEKAN JOHOL	463	195	237	31	0			195		237	31	195				237	31
8	KUALA JOHOL	1007	956	3	1	47	46	1	965	37	3	2	957			1	3	46
9	KAMPUNG NURI	936	890	35	6	5	2	3	890	2	35	9	890		1		35	10
10	AYER MAWANG	1874	1473	351	43	7	1	6	1468	6	351	49	1474				351	49
