kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	MALIM NAWAR UTARA	1221	14	1190	16	1	1		13	2	1190	16	14				1190	17
2	MALIM NAWAR TENGAH	499	3	492	4	0			2	1	492	4	3				492	4
3	MALIM NAWAR LAMA	583	32	449	100	2	1	1	32	1	449	101	32				449	102
4	MALIM NAWAR SELATAN	656	39	605	10	2	2		38	3	605	10	39	1	1		605	10
5	MALIM NAWAR BAHARU	439	116	107	214	2	1	1	117		107	215	116	1			107	215
6	MALIM NAWAR	1461	599	769	83	10	1	9	600		769	92	599				769	93
7	KAMPAR BARAT	451	239	34	178	0			239		34	178	239				34	178
8	MAMBANG DIAWAN UTARA	2218	38	2028	149	3	2	1	37	3	2028	150	38				2028	152
9	MAMBANG DIAWAN SELATAN	1701	38	1542	114	7	4	3	39	3	1542	117	38	1			1542	120
10	MAMBANG DIAWAN BARAT	3488	433	2575	453	27	16	11	436	13	2575	464	434	4	1	1	2575	473
11	KAMPONG AYER HITAM	593	479	39	70	5	4	1	480	3	39	71	479	1			39	74
12	TRONOH MINES	1668	778	757	127	6	3	3	777	4	757	130	778	1			757	132
13	KAMPONG AYER PAPAN	1979	795	925	233	26	11	15	799	7	925	248	795		1		925	258
14	PEKAN TANJONG TUALANG	1680	271	1314	89	6	4	2	272	3	1314	91	271	1			1314	94
15	SUNGAI DURIAN	1785	4	1776	3	2	2		3	3	1776	3	4				1776	5
16	KAMPONG TIMAH	1645	57	1544	40	4	2	2	54	5	1544	42	57				1544	44
17	CHANGKAT TIN	851	713	82	54	2	2		711	4	82	54	713				82	56
