kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG BINTURU	85	1	5		79	79		9	71	5		1				5	79
2	KG GANDANGON	37		4		33	33		4	29	4						4	33
3	KG HUJUNG AYER	8	1			7	5	2	6			2	1					7
4	KG KABUNAU	164	8	10		146	145	1	32	121	10	1	8	2			10	144
5	KG KEMANSIAN	131	3			128	124	4	107	20		4	3					128
6	KG KAPAYAN	121	7	6		108	108		89	26	6		7				6	108
7	KG KAPURAN	19	1			18	17	1	12	6		1	1					18
8	KG KENANGKA	101	2	9		90	90		54	38	9		3				9	89
9	KG KINANTUNGAN	150	2	3	4	141	140	1	31	111	3	5	2				3	145
10	KG KIOMSOM	19		1	1	17	17			17	1	1					1	18
11	KG KUALA PENYU	694	9	92	6	587	586	1	145	450	92	7	9	1			92	592
12	KG KULONG KULONG	32	2	1		29	29		3	28	1		2				1	29
13	KG KUPANG	43		1		42	42		5	37	1						1	42
14	KG LASAK	8		1		7	7		5	2	1						1	7
15	KG MANGGIS	42	3			39	39		42				3					39
16	KG NALITANG	77		3		74	74		4	70	3						3	74
17	KG PERIOK PERIOK	46	2	3		41	41		35	8	3		2				3	41
18	KG RIMBAAN	135	3	8	3	121	121		18	106	8	3	3				8	124
19	KG SUNGAI LABUAN	70		5		65	62	3	9	53	5	3					5	65
20	KG KAKAPORAN	47	2			45	45		37	10			2					45
21	BEREK POLIS	18	3	1		14	14		13	4	1		3	1			1	13
22	KAMPUNG BERANGKOK	99	9			90	90		98	1			9					90
23	PEKAN KUALA PENYU	91	1	19		71	69	2	34	36	19	2	1				19	71
701	BALAI POLIS KUALA PENYU	16	9	1		6	6		14	1	1		9	1			1	5
