kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG REJANG	950	921	9		20	20		921	20	9		922	16	3		9	
2	RH SEMAN TUSOK	62				62	62		2	60				62				
3	RH UNTOK SEBAYANG	80	1			79	79		3	77			1	78		1		
4	RH IYU SEBAYANG	129	2			127	127		6	123			2	127				
5	KG JERIJEH BARU	562	545	4		13	13		549	9	4		545	12	1		4	
6	RH KUBAU SEBAYANG	27	1			26	26		1	26			1	25		1		
7	RH UKAT SEBAYANG	15		1		14	14			14	1			14			1	
8	RH BUJUK SEBAYANG	28		1		27	27			27	1			27			1	
9	RH MENGKANG AK BUGONG	30	1			29	29		1	29			1	29				
10	RH ANJANG	9		1		8	8			8	1			8			1	
11	RH JUGAH	87	1	1		85	85		2	84	1		1	84	1		1	
