kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	LOR RAMBAI	30	2	28		0			2		28		2				28	
2	JALAN SCUDAI	64	18	43	2	1	1		19		43	2	18	1			43	2
3	JALAN TAMPOI	351	44	283	22	2		2	44		283	24	44				283	24
4	JLN. DATO' MOHD. SETH	208	1	207		0			1		207		1				207	
5	JLN. DATO' TOH AH BOON	227	5	221		1	1		6		221		6				221	
6	JLN. MUTHUTHAMBY	232	1	229		2	1	1	1	1	229	1	1				229	2
7	LG. 4 JLN. DATO' ESA	184	4	175	5	0			3	1	175	5	4				175	5
8	JLN. TANG AH KIAT	246	3	240	3	0			3		240	3	3				240	3
9	JLN. MEJAR AGIL	180		180		0					180						180	
10	LEE BISCUITS LTD	9		8	1	0					8	1					8	1
11	ORIENTAL MANUFACTURING	3	1	1	1	0			1		1	1	1				1	1
12	LG. 5A JLN. DATO' ESA	66	3	54	8	1		1	3		54	9	3				54	9
13	JLN. CAPT. WAN NGAH	119	1	118		0			1		118		1				118	
14	TMN TAMPOI	42	4	37	1	0			4		37	1	4				37	1
15	JALAN DATO ABDUL HAMID TAMPOI	152	71	70	11	0			71		70	11	71				70	11
16	JLN. TAMPOI LG. RAMBAI	29		29		0					29						29	
17	JALAN COL. MUSA TAMPOI	68	6	61		1	1		6	1	61		6				61	1
18	LOR KEMANG TAMPOI	17		17		0					17						17	
19	LOR 5B TAMPOI	37		37		0					37						37	
20	JLN NENAS TAMPOI	2		2		0					2						2	
21	LOR 5 TAMPOI	14		14		0					14						14	
22	JLN DATO DAUD TAMPOI	41		41		0					41						41	
23	LOR PETIR TAMPOI	1		1		0					1						1	
24	JLN MANGGA TAMPOI	6	2	2	2	0			2		2	2	2				2	2
25	JLN GAJUS	90	3	78	8	1		1	3		78	9	3				78	9
26	LG BETIK	30	1	29		0			1		29		1				29	
27	JLN MEMPELAM	5		3	2	0					3	2					3	2
28	LOR 1-A TAMPOI	19		19		0					19						19	
29	LOR 1-B TAMPOI	6		6		0					6						6	
30	LOR 1 TAMPOI	18	3	15		0			3		15		3				15	
31	LOR 2 TAMPOI	55	5	50		0			5		50		5				50	
32	LOR 3 TAMPOI	100	1	96		3	1	2	1	1	96	2	1		1		96	2
33	LOR 4 TAMPOI	15		15		0					15						15	
34	LOR 5-C TAMPOI	19		19		0					19						19	
35	LOR 6-A TAMPOI	4		4		0					4						4	
36	LOR 6 TAMPOI	31		31		0					31						31	
37	LOR 7 TAMPOI	26	4	22		0			4		22		4				22	
38	JALAN DATO' ESA	144	5	131	7	1	1		5	1	131	7	5	1			131	7
39	JLN KUINI	1		1		0					1						1	
40	LRG RAMBAI	6		6		0					6						6	
41	PANGSAPURI PULAI VIEW	53	7	26	14	6	4	2	11		26	16	7				26	20
42	JLN. PULAI	52	3	46	3	0			3		46	3	3				46	3
43	JLN. GAJUS	6		6		0					6						6	
