kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KAMPONG TENGAH SIMPANG EMPAT	17	17			0			17				17					
2	SIMPANG EMPAT MAMBANG DIAWAN	6	3	3		0			3		3		3				3	
3	KG HJ DAHALAN	277	274		2	1		1	274			3	274					3
4	KG SIMPANG AMPAT	135	130	4		1	1		129	2	4		130				4	1
5	KG SG LESONG	192	187		2	3	1	2	188			4	187					5
6	KG TENGAH	176	176			0			176				176					
7	KG HAJI ARIFF	182	182			0			182				182					
8	KG MASJID	25	25			0			24	1			25					
9	TMN PERMAI/TMN DIAWAN	256	230	7	8	11	9	2	233	6	7	10	230		1		7	18
10	MERDEKA GARDEN MAMBANG DIAWAN	232	19	128	79	6		6	19		128	85	19				128	85
