kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KEMPAS	2772	967	1406	369	30	15	15	976	6	1406	384	967	3	2		1406	394
2	PERMATANG	1407	1284	76	28	19	1	18	1280	5	76	46	1284				76	47
3	LEMBAH KEMPAS	3199	2283	630	234	52	13	39	2294	2	630	273	2284	7	2		630	276
4	JALAN TAMPOI	2259	1403	579	197	80	36	44	1421	18	579	241	1403	9	5		579	263
5	DENAI	4300	3785	161	226	128	17	111	3785	17	161	337	3788	3	2		161	346
6	TAMAN SIANTAN	2980	2506	250	176	48	24	24	2517	13	250	200	2514	4	1		250	211
7	TAMAN JOHOR	3977	981	2460	503	33	16	17	989	8	2460	520	983	5	2	2	2460	525
8	TAMAN CEMPAKA	4079	2296	1075	602	106	78	28	2324	50	1075	630	2298	39	11	1	1075	655
9	TAMAN DAHLIA	2849	2251	382	149	67	25	42	2248	28	382	191	2253	21			382	193
10	TAMAN KOBENA	1401	1139	108	128	26	8	18	1142	5	108	146	1140	2			108	151
11	DESA RAHMAT	2439	1893	383	127	36	15	21	1898	10	383	148	1893	3	1		383	159
12	PEKAN TAMPOI	3008	198	2701	90	19	10	9	203	5	2701	99	199	2	1		2701	105
13	BUKIT MEWAH	4446	1494	2236	642	74	45	29	1500	39	2236	671	1495	19	3	2	2236	691
14	BUKIT KEMPAS	4257	1699	1886	625	47	15	32	1706	8	1886	657	1700	2	2	1	1886	666
