kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	TELAGA AIR	1423	1291	91		41	41		1284	48	91		1291	27	13	1	91	
2	SALAK	437	419	12		6	6		424	1	12		419	1	2	3	12	
3	TEMENGGONG	488	336	56		96	96		346	86	56		336	81	12	3	56	
4	JAYA BAKTI	257	249	2		6	6		254	1	2		249	4	2		2	
5	SANTUBONG	1025	954	28		43	40	3	976	18	28	3	954	18	20	2	28	3
6	BUNTAL	1925	1797	80		48	47	1	1825	19	80	1	1797	21	26		80	1
7	RAMPANGI	3669	3126	91		452	447	5	3234	339	91	5	3126	330	110	7	91	5
8	SEJINJANG	817	770	37		10	10		777	3	37		770	6	4		37	
9	ASTANA	3341	3256	34		51	50	1	3291	15	34	1	3256	25	25		34	1
10	DEMAK BARU	588	520	27		41	40	1	523	37	27	1	520	30	9	1	27	1
11	SEMARANG	2305	2261	15		29	27	2	2278	10	15	2	2261	10	17		15	2
12	BINTAWA	3403	3276	57		70	70		3326	20	57		3276	26	44		57	
