kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
192	MAS GADING	29617	1711	5333		22573	22512	61	2148	22074	5333	62	1711	1533	20901	78	5333	61
193	SANTUBONG	45628	37404	3594		4629	4591	38	38072	3922	3594	39	37404	2880	1652	59	3594	38
194	PETRA JAYA	57925	44638	7599		5688	5305	383	45298	4644	7599	384	44638	3280	1915	110	7599	383
195	BANDAR KUCHING	81856	3655	72649		5551	4805	746	3708	4752	72649	746	3655	2959	1706	140	72649	746
196	STAMPIN	66240	11347	42559		12333	11784	549	11533	11597	42559	550	11347	5710	5777	297	42559	549
197	KOTA SAMARAHAN	46300	29528	5249		11523	11390	133	29627	11290	5249	134	29528	7338	3911	140	5249	134
198	PUNCAK BORNEO	46180	2543	11993		31643	31547	96	3254	30834	11993	98	2543	1977	29417	153	11993	96
199	SERIAN	37629	3019	3828		30782	30719	63	3705	30027	3828	69	3019	4150	26485	84	3828	63
200	BATANG SADONG	23213	16784	1202		5227	5218	9	17060	4941	1202	10	16784	5036	161	21	1202	9
201	BATANG LUPAR	29811	22420	860		6531	6529	2	22570	6379	860	2	22420	6420	91	18	860	2
202	SRI AMAN	33016	3619	5556		23840	23817	23	4261	23174	5556	24	3619	23255	490	71	5556	24
203	LUBOK ANTU	20801	406	1751		18644	18627	17	747	18283	1751	20	406	18441	137	46	1751	20
204	BETONG	29145	12804	1963		14378	14357	21	13002	14158	1963	22	12804	14114	151	92	1963	21
205	SARATOK	30517	11426	1998		17093	17083	10	11690	16817	1998	12	11426	16925	105	53	1998	10
206	TANJONG MANIS	21899	15559	1048		5292	5281	11	15674	5166	1048	11	15560	5223	34	23	1048	11
207	IGAN	19592	15746	696		3150	3143	7	15326	3561	696	9	15747	3075	31	35	696	8
208	SARIKEI	39561	2502	24938		12119	12103	16	2899	11705	24938	17	2502	11817	152	133	24938	17
209	JULAU	25380	248	1175		23957	23950	7	850	23348	1175	7	248	23746	115	89	1175	7
210	KANOWIT	21022	634	2540		17848	17842	6	872	17604	2540	6	634	17672	86	84	2540	6
211	LANANG	61973	4798	42652		14522	14486	36	5016	14267	42652	37	4798	14013	219	254	42652	36
212	SIBU	74149	13214	46610		14324	14206	118	12343	15077	46610	118	13214	13454	378	374	46610	118
213	MUKAH	30608	21948	2903		5756	5738	18	13285	14401	2903	18	21948	5632	37	69	2903	18
214	SELANGAU	30026	870	1030		28124	28121	3	1336	27653	1030	5	870	27246	72	803	1030	3
215	KAPIT	30658	1221	2831		26604	26584	20	1689	26111	2831	25	1221	26156	76	351	2831	21
216	HULU RAJANG	27520	461	325		26732	26725	7	1268	25918	325	7	461	14442	51	12232	325	7
217	BINTULU	65049	15700	18804		30543	30369	174	16489	29579	18804	175	15700	28061	665	1642	18804	175
218	SIBUTI	31868	12676	6911		12281	12214	67	12962	11927	6911	68	12676	10382	393	1439	6911	67
219	MIRI	80386	17801	44514		18070	17784	286	17321	18263	44514	287	17801	14181	664	2939	44514	286
220	BARAM	35685	2028	2754		30902	30889	13	3184	29730	2754	16	2028	12346	67	18475	2754	14
221	LIMBANG	26409	10932	4776		10700	10663	37	11090	10505	4776	37	10932	9361	87	1215	4776	37
222	LAWAS	21297	10421	1979		8897	8871	26	10537	8754	1979	27	10421	628	64	8179	1979	26
