kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG BUKIT MENTIBANG	32	32			0			32				32					
2	KG CARAK KELADI	2	2			0			2				2					
3	KG GUNTUNG	168	88	5	73	2		2	87	1	5	75	88				5	75
4	KG KELEBANG	72	71			1		1	70	1		1	71					1
5	KG KETAM	223	220		1	2	2		219	3		1	221					2
6	KG PAMAH LIMAU	20	20			0			20				20					
7	KG PAYA RAMBAI	9	8		1	0			8			1	8					1
8	KG TARAM	72	66	2	3	1		1	66		2	4	66				2	4
9	KG DESA MURNI	640	634	2	2	2		2	632	2	2	4	634				2	4
10	KG TANJUNG DEDAP	3	3			0			3				3					
11	KG TANJUNG PERAH	48	48			0			48				48					
12	KG HULU KETAM	7	7			0			7				7					
13	KG BARU BUKIT KETUMBIT	145	138	1	1	5		5	138		1	6	138				1	6
14	KG BUKIT KEPONG	8	8			0			8				8					
15	KUARTERS PERTANIAN	6	6			0			6				6					
16	KG SERI KETUMBIT	174	170	1		3		3	170		1	3	170				1	3
17	KUATERS INSTITUSI PENDIDIKAN SEK MEN KERDAU	7	7			0			7				7					
18	KUATERS SBP INTEGRASI TEMERLOH	3	3			0			3				3					
