kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
20	SUNGAI LIMAU	28800	26969	1739	22	70	21	49	26950	40	1739	71	26972	5	1		1739	83
21	GUAR CHEMPEDAK	22646	20209	2196	194	47	23	24	20180	52	2196	218	20212	2	1	1	2196	234
22	GURUN	28530	16847	6913	4589	181	48	133	16841	54	6913	4722	16857	8	3	1	6913	4748
