kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	PANGKAL KALA	1838	1834	2		2	1	1	1832	3	2	1	1834				2	2
2	BECHAH SEMAK	2284	2279			5	3	2	2275	7		2	2279					5
3	TELIAR	1694	1689	1		4	2	2	1686	5	1	2	1689				1	4
4	BECHAH MENERONG	1301	1297		1	3	1	2	1297	1		3	1297					4
5	BUNUT SUSU	1743	1738	3	1	1	1		1730	9	3	1	1738				3	2
6	BECHAH DURIAN	1114	1113		1	0			1109	4		1	1113					1
7	PADANG EMBON	1726	1720	3		3	1	2	1716	5	3	2	1720				3	3
8	KAMPUNG PALOH	1359	1355	1	1	2	1	1	1352	4	1	2	1355				1	3
9	HUTAN CHENGAL	1623	1614	1	1	7	4	3	1617	1	1	4	1616				1	6
10	KUBANG SEPAT	1071	1065	6		0			1061	4	6		1065				6	
11	KAMPUNG HUTAN PASIR	1820	1748	66	2	4	2	2	1747	3	66	4	1748				66	6
12	TENDONG	2994	2699	270	1	24	3	21	2696	6	270	22	2699			1	270	24
13	KEDONDONG	676	674			2		2	668	6		2	674					2
14	KAMPUNG CHAT	2663	2636	7		20	4	16	2628	12	7	16	2636				7	20
