kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KG KELAPA	186	24	141	21	0			24		141	21	24				141	21
2	JLN RAUB	36	5	31		0			5		31		5				31	
3	KUATERS KESIHATAN	21	13	2	6	0			13		2	6	13				2	6
4	KUATERS PEJ HUTAN	1	1			0			1				1					
5	BEREK POLIS	33	32	1		0			32		1		32				1	
6	KUATERS JKR	26	24		2	0			24			2	24					2
7	KUATERS PEJ POS	3	3			0			3				3					
8	KAW PERHENTIAN BAS	7	3	4		0			3		4		3				4	
9	JLN JERANTUT	83	60	21	1	1	1		61		21	1	60		1		21	1
10	KG MELAYU	185	149	34	2	0			148	1	34	2	149				34	2
11	KUATERS SEK KEB BENTA	5	5			0			5				5					
12	KG NABUN	54	52	1	1	0			52		1	1	52				1	1
13	KG BENTA	159	100	41	17	1		1	100		41	18	100				41	18
14	RRM BENTA	75	54	10	8	3		3	54		10	11	54				10	11
15	BANGUNAN LKNP	30	2	23	5	0			2		23	5	2				23	5
16	JLN BESAR	22	4	12	6	0			4		12	6	4				12	6
17	KUATERS JBA	6	6			0			6				6					
701	BALAI POLIS BENTA	18	17			1	1		17	1			18					
801	PENGUNDI TIDAK HADIR	2		2		0					2						2	
