kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JALAN AYER ITAM(2)	84	52	17	15	0			52		17	15	52				17	15
2	LORONG BATU LANCHANG(2)	89	4	75	6	4		4	3	1	75	10	4				75	10
3	TAMAN DAVID CHEN	114		110	4	0					110	4					110	4
4	KAMPONG BARU	175	117	36	22	0			116	1	36	22	117				36	22
5	JALAN SHAIK MADAR	522	118	346	57	1		1	118		346	58	118				346	58
6	THEAN TEIK ESTATE	2		2		0					2						2	
7	JLN THEAN TEIK	330	57	234	37	2		2	57		234	39	57				234	39
8	JALAN SHAIK EUSOFF	171	152		18	1		1	152			19	152					19
