kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KAMPONG GELOK	1236	1228	1		6	6		1233	1	1		1229	1			1	4
2	KAMPONG LENGGONG	861	844	6	6	5	3	2	845	2	6	8	844				6	11
3	KAMPONG SIRA	1181	251	814	113	3	1	2	251	1	814	115	251				814	116
4	BUKIT RAJA	718	192	496	29	1		1	192		496	30	192				496	30
5	BUKIT BALAI	634	439	137	50	8	7	1	441	5	137	51	440	1	1		137	55
6	KAMPONG TELOK BATU	480	474		2	4	3	1	475	2		3	475	1				4
7	KAMPONG TEMELONG	810	806	2	1	1	1		803	4	2	1	806				2	2
8	KAMPONG CHEPOR	789	788	1		0			786	2	1		788				1	
9	KAMPONG LUAT	861	853			8	5	3	857	1		3	853	1				7
10	BANGGOL BELIMBING	943	942	1		0			941	1	1		942				1	
11	KOTA TAMPAN	348	10	308	30	0			10		308	30	10				308	30
12	LUBOK KAWAH	1116	945	95	73	3	1	2	942	4	95	75	945				95	76
13	KAMPONG RABAN	782	759	16	2	5	1	4	759	1	16	6	759				16	7
14	KUAK	1457	1376	72	5	4	3	1	1377	2	72	6	1377	2			72	6
15	KAMPONG BENG	571	571			0			570	1			571					
