kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JALAN BATU LADA	61	45	13	2	1		1	45		13	3	45				13	3
2	JALAN STESYEN JANAKUASA	177	169	5	3	0			169		5	3	169				5	3
3	JALAN RUMAH REHAT	27	24	1	1	1		1	24		1	2	24				1	2
4	JALAN SULTAN YAHYA PETRA	313	67	242	3	1		1	66	1	242	4	67				242	4
5	JALAN UTAMA	43	33	7	2	1		1	33		7	3	33				7	3
6	JALAN AH SANG	506	82	408	12	4	1	3	79	4	408	15	82				408	16
7	JALAN DATO LUAR	42	13	29		0			13		29		13				29	
8	JALAN JIRAT CHINA	214	123	65	23	3		3	123		65	26	123				65	26
9	JALAN CHIN HWA	133	14	117	1	1	1		13	2	117	1	14				117	2
10	JALAN TENGKU ISMAIL	4	2	2		0			2		2		2				2	
11	JALAN TENGKU ZAINAL ABIDIN	2	1			1		1	1			1	1					1
12	KG MELATI	81	72	2	6	1		1	72		2	7	72				2	7
13	JALAN GEALE	679	651	19	4	5	1	4	651	1	19	8	652				19	8
14	JALAN HULU MASJID	106	104	1		1		1	104		1	1	104				1	1
15	KG RAKIT	53	53			0			53				53					
702	IBU PEJABAT POLIS DAERAH KUALA KRAI	226	206	2	2	16	16		201	21	2	2	207	2	2	1	2	12
