kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	JALAN SCUDAI	37	16	20	1	0			16		20	1	16				20	1
2	TMN SKUDAI KANAN	602	460	123	16	3	2	1	459	3	123	17	462				123	17
3	BT. 4 JLN LARKIN	19	6	13		0			5	1	13		6				13	
4	JLN BARLI 1/1	156	134	7	9	6	1	5	135		7	14	135				7	14
5	JLN BARLI 1/3	59	56		3	0			56			3	56					3
6	JLN BARLI 1/7	64	64			0			64				64					
7	JLN BARLI 1/8	48	48			0			48				48					
8	JLN BARLI 2/1	53	47	4	1	1		1	47		4	2	47				4	2
9	JLN BARLI 2/4	33	32			1		1	32			1	32					1
10	JLN BARLI 1/10	18	16		1	1		1	15	1		2	16					2
11	JLN BARLI 3	56	55		1	0			53	2		1	55					1
12	JLN BARLI	86	64	10	12	0			64		10	12	64				10	12
13	JLN BARLI 2/3	43	40		1	2		2	40			3	40					3
14	JLN BARLI 1/9	64	62		1	1	1		63			1	62					2
15	JLN BARLI 1/13	48	47			1		1	47			1	47					1
16	JLN BARLI 2/2	63	60		1	2	1	1	60	1		2	60		1			2
17	JLN BARLI 1/11	19	19			0			19				19					
18	JLN BARLI 1/5	43	42	1		0			42		1		42				1	
19	JLN BARLI 1/12	46	46			0			46				46					
20	JLN BARLI 1/2	16	16			0			16				16					
21	JLN BARLI 1/4	41	35			6	1	5	36			5	35					6
22	SUSUR BALING	28	25	3		0			25		3		25				3	
23	JLN BARLI 1/6	20	20			0			20				20					
24	JLN. SUSUR BARLI 1	231	210	4	10	7	1	6	211		4	16	211				4	16
25	JLN BARLI 2/5	7	7			0			7				7					
26	JLN SUSUR BARLI 3	59	55		1	3		3	55			4	55					4
