kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	RH JABAT	86	1			85	85		3	83			1	85				
2	RH JINGGA	42				42	42			42				42				
3	RH API	65		1		64	64		1	63	1			63		1	1	
4	RH TABOH NG KEJAKAR	50				50	50		1	49				50				
5	RH LAJONG NG SETUCHOK	74	2	1		71	71		2	71	1		2	71			1	
6	RH NUGU NG SESIBAU / LULUT	60				60	60		4	56				60				
7	RH ASSAN NG ENGKUAH	91		2		89	89			89	2			87	2		2	
8	RH UMPANG TAPANG	33				33	33			33				33				
9	RH SAPAI NG NGERANAU	59				59	59		1	58				59				
10	RH BUDA	46				46	46		1	45				46				
11	RH SERIT RANTAU ENTIMAU	48	2			46	46		2	46			2	46				
12	RH RAMBO, NG MASAK	88		1		87	87		2	85	1			87			1	
13	RH JEMPAI	26				26	26		1	25				25		1		
14	RH WONG NG MALAI	27				27	27			27				27				
15	RH SA NG MESAU	39				39	39		1	38				38		1		
16	RH RICHARD TAGONG	38				38	38			38				38				
17	RH SUNING	44				44	44		1	43				44				
18	RH NGONG NG BULO	27	1	1		25	25		1	25	1		1	24	1		1	
19	RH NUING	72	1			71	71		2	70			1	70		1		
20	RUMAH RICHARD NANGA CHEMANONG SONG	19				19	19			19				19				
