kye	label	total	M_semenanjung	C_semenanjung	I_semenanjung	L_semenanjung	OA_semenanjung2	L_semenanjung2	BI_sabah	BBI_sabah	C_sabah	L_sabah	M_sarawak	IB_sarawak	BD_sarawak	OU_sarawak	C_sarawak	L_sarawak
1	KAMPONG LANEH	952	949	1	1	1		1	949		1	2	949				1	2
2	KROH HILIR	1278	1274	4		0			1272	2	4		1274				4	
3	PADANG RENGAS	354	337	10	7	0			336	1	10	7	337				10	7
4	PADANG RENGAS UTARA	631	451	161	19	0			450	1	161	19	451				161	19
5	KAMPONG JAYA	1196	480	405	308	3	3		482	1	405	308	480				405	311
6	KAMPONG BUAYA	1605	1233	127	238	7	3	4	1232	4	127	242	1234	1			127	243
7	KAMPONG PAYA	781	606	142	31	2		2	606		142	33	606				142	33
8	KAMPONG LALANG	1100	1099			1	1		1100				1100					
9	PADANG ASSAM	1564	1380	92	87	5	3	2	1383		92	89	1380				92	92
10	KAMPONG RAMBONG	869	865		1	3		3	865			4	865					4
11	LUBOK MERBAU	1340	1322	4	12	2	1	1	1319	4	4	13	1322				4	14
12	KAMPONG TANAH MERAH	668	664	1	1	2	2		665	1	1	1	665		1		1	1
13	KAMPONG STATION	2736	828	1403	503	2		2	828		1403	505	828				1403	505
14	KAMPONG BASONG	1502	907	465	118	11	2	9	907	2	465	127	907				465	129
